Date,New_cases,New_deaths
7/1/2020,35757,370
7/2/2020,43556,560
7/3/2020,54271,725
7/4/2020,53213,623
7/5/2020,51933,745
7/6/2020,57186,182
7/7/2020,43686,235
7/8/2020,46194,320
7/9/2020,50263,930
7/10/2020,64630,991
7/11/2020,58975,799
7/12/2020,66281,803
7/13/2020,62369,906
7/14/2020,60113,312
7/15/2020,58720,349
7/16/2020,60711,754
7/17/2020,67165,946
7/18/2020,71484,921
7/19/2020,74354,917
7/20/2020,66963,877
7/21/2020,62788,496
7/22/2020,57276,473
7/23/2020,62929,1042
7/24/2020,69641,1074
7/25/2020,71714,1110
7/26/2020,74235,1135
7/27/2020,63968,929
7/28/2020,61498,604
7/29/2020,54022,1118
7/30/2020,59629,1191
7/31/2020,65406,1414
8/1/2020,67823,1211
8/2/2020,67499,1365
